model RSP_Z RSP_X RSP_mass RSP_L RSP_Teff
0 0.004 0.74 13.8 65000.0 4400.0
1 0.004 0.74 13.8 65000.0 4450.0
2 0.004 0.74 13.8 65000.0 4500.0
3 0.004 0.74 13.8 65000.0 4550.0
4 0.004 0.74 13.8 65000.0 4600.0
5 0.004 0.74 13.8 65000.0 4650.0
6 0.004 0.74 13.8 65000.0 4700.0
7 0.004 0.74 13.8 65000.0 4750.0
8 0.004 0.74 13.8 65000.0 4800.0
9 0.004 0.74 13.8 65000.0 4850.0
10 0.004 0.74 13.8 65000.0 4900.0
11 0.004 0.74 13.8 65000.0 4950.0
12 0.004 0.74 13.8 65000.0 5000.0
13 0.004 0.74 13.8 65000.0 5050.0
14 0.004 0.74 13.8 65000.0 5100.0
15 0.004 0.74 13.8 65000.0 5150.0
16 0.004 0.74 13.8 65000.0 5200.0
17 0.004 0.74 13.8 65325.0 4400.0
18 0.004 0.74 13.8 65325.0 4450.0
19 0.004 0.74 13.8 65325.0 4500.0
20 0.004 0.74 13.8 65325.0 4550.0
21 0.004 0.74 13.8 65325.0 4600.0
22 0.004 0.74 13.8 65325.0 4650.0
23 0.004 0.74 13.8 65325.0 4700.0
24 0.004 0.74 13.8 65325.0 4750.0
25 0.004 0.74 13.8 65325.0 4800.0
26 0.004 0.74 13.8 65325.0 4850.0
27 0.004 0.74 13.8 65325.0 4900.0
28 0.004 0.74 13.8 65325.0 4950.0
29 0.004 0.74 13.8 65325.0 5000.0
30 0.004 0.74 13.8 65325.0 5050.0
31 0.004 0.74 13.8 65325.0 5100.0
32 0.004 0.74 13.8 65325.0 5150.0
33 0.004 0.74 13.8 65325.0 5200.0
34 0.004 0.74 13.8 65650.0 4400.0
35 0.004 0.74 13.8 65650.0 4450.0
36 0.004 0.74 13.8 65650.0 4500.0
37 0.004 0.74 13.8 65650.0 4550.0
38 0.004 0.74 13.8 65650.0 4600.0
39 0.004 0.74 13.8 65650.0 4650.0
40 0.004 0.74 13.8 65650.0 4700.0
41 0.004 0.74 13.8 65650.0 4750.0
42 0.004 0.74 13.8 65650.0 4800.0
43 0.004 0.74 13.8 65650.0 4850.0
44 0.004 0.74 13.8 65650.0 4900.0
45 0.004 0.74 13.8 65650.0 4950.0
46 0.004 0.74 13.8 65650.0 5000.0
47 0.004 0.74 13.8 65650.0 5050.0
48 0.004 0.74 13.8 65650.0 5100.0
49 0.004 0.74 13.8 65650.0 5150.0
50 0.004 0.74 13.8 65650.0 5200.0
51 0.004 0.74 13.8 65975.0 4400.0
52 0.004 0.74 13.8 65975.0 4450.0
53 0.004 0.74 13.8 65975.0 4500.0
54 0.004 0.74 13.8 65975.0 4550.0
55 0.004 0.74 13.8 65975.0 4600.0
56 0.004 0.74 13.8 65975.0 4650.0
57 0.004 0.74 13.8 65975.0 4700.0
58 0.004 0.74 13.8 65975.0 4750.0
59 0.004 0.74 13.8 65975.0 4800.0
60 0.004 0.74 13.8 65975.0 4850.0
61 0.004 0.74 13.8 65975.0 4900.0
62 0.004 0.74 13.8 65975.0 4950.0
63 0.004 0.74 13.8 65975.0 5000.0
64 0.004 0.74 13.8 65975.0 5050.0
65 0.004 0.74 13.8 65975.0 5100.0
66 0.004 0.74 13.8 65975.0 5150.0
67 0.004 0.74 13.8 65975.0 5200.0
68 0.004 0.74 13.9 66300.0 4400.0
